nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
ラトビア共和国,ラトビア,LV,LVA,Europe,リガ,ダウガフピルス,false,56.9496487,24.1051864,,拉脱維亜,良,1961600,BLR,EE,LT,RU,,,,,,,,,,,,UN,EU,,64562
モロッコ王国,モロッコ,MA,MAR,Africa,ラバト,カサブランカ,false,34.015049,-6.83272,,摩洛哥,,33337529,DZA,EH,ES,,,,,,,,,,,,,UN,AU,AL,446550
モナコ公国,モナコ,MC,MCO,Europe,モナコ,,false,43.7384176,7.4246158,,摩納哥,,38400,FRA,,,,,,,,,,,,,,,UN,,,1.95
モルドバ共和国,モルドバ,MD,MDA,Europe,キシニョフ,ティラスポリ,false,47.026859,28.841551,Single,摩爾多瓦,,3553100,ROU,UA,,,,,,,,,,,,,,UN,CEFTA,,33846
マダガスカル共和国,マダガスカル,MG,MDG,Africa,アンタナナリボ,トアマシナ,true,-18.914872,47.531612,,馬達加斯加,,22434363,,,,,,,,,,,,,,,,UN,AU,,587295
モルディブ共和国,モルディブ,MV,MDV,Asia,マレ,,true,4.174199,73.510915,,瑪勒代弗,,344023,,,,,,,,,,,,,,,,UN,SAARC,,300
メキシコ合衆国,メキシコ,MX,MEX,NorthAmerica,メキシコシティ,グアダラハラ,false,19.4326077,-99.133208,,墨西哥,墨,122273473,BLZ,GT,US,,,,,,,,,,,,,UN,PA,NAFTA,1964375
マーシャル諸島共和国,マーシャル諸島,MH,MHL,Oceania,マジュロ,,true,7.1429099,171.0395821,,麻紹耳,,54880,,,,,,,,,,,,,,,,UN,,,181
北マケドニア共和国,北マケドニア,MK,MKD,Europe,スコピエ,ビトラ,false,41.9973462,21.4279956,,馬基頓,,2058539,ALB,BG,GR,KS,RS,,,,,,,,,,,UN,CEFTA,,#N/A
マリ共和国,マリ,ML,MLI,Africa,バマコ,シカソ,false,12.65,-8,Single,麻里,,18135000,DZA,BF,GN,CI,MR,NE,SN,,,,,,,,,UN,AU,,1240192
マルタ共和国,マルタ,MT,MLT,Europe,バレッタ,,true,35.89779,14.514106,,摩爾太,,425384,,,,,,,,,,,,,,,,UN,EU,,316
ミャンマー連邦共和国,ミャンマー,MM,MMR,Asia,ネーピードー,マンダレー,false,19.750018,96.100449,,緬甸,緬,51419420,BGD,CN,IN,LA,TH,,,,,,,,,,,UN,ASEAN,,676578
モンテネグロ,モンテネグロ,ME,MNE,Europe,ポドゴリツァ,ニクシッチ,false,42.442575,19.268646,,黒山,,621810,ALB,BA,HR,KS,RS,,,,,,,,,,,UN,CEFTA,,13812
モンゴル国,モンゴル,MN,MNG,Asia,ウランバートル,ダルハン,false,47.921378,106.90554,Single,蒙古,蒙,3093100,CHN,RU,,,,,,,,,,,,,,UN,,,1564116
モザンビーク共和国,モザンビーク,MZ,MOZ,Africa,マプト,ベイラ,false,-25.9666667,32.5833333,,莫三鼻給,,26423700,MWI,ZA,SZ,TZ,ZM,ZW,,,,,,,,,,UN,AU,,801590
モーリタニア・イスラム共和国,モーリタニア,MR,MRT,Africa,ヌアクショット,ヌアディブ,false,18.0840609,-15.97842,,毛里塔尼亜,,3718678,DZA,ML,SN,EH,,,,,,,,,,,,UN,AU,AL,1030700
モーリシャス共和国,モーリシャス,MU,MUS,Africa,ポートルイス,ボーバッサン・ローズヒル,true,-20.165279,57.49638,,毛里西亜,,1262879,,,,,,,,,,,,,,,,UN,AU,,1969
マラウイ共和国,マラウイ,MW,MWI,Africa,リロングウェ,,false,-13.9833333,33.7833333,Single,馬拉維,,16832910,MOZ,TZ,ZM,,,,,,,,,,,,,UN,AU,,118484
